UniProt ID,Gene,Protein name,
Q9C0G6,DNAH6,Dynein axonemal heavy chain 6,
Q9C0H9,SRCIN1,SRC kinase signaling inhibitor 1,
Q9C0I9,LRRC27,Leucine-rich repeat-containing protein 27,
Q9C0K0,BCL11B,B-cell lymphoma/leukemia 11B,
Q9GZM7,TINAGL1,Tubulointerstitial nephritis antigen-like,
Q9GZN4,PRSS22,Brain-specific serine protease 4,
Q9GZP0,PDGFD,Platelet-derived growth factor D,
Q9GZP4,PITHD1,PITH domain-containing protein 1,
Q9GZP8,IMUP,Immortalization up-regulated protein,
Q9GZT3,SLIRP,SRA stem-loop-interacting RNA-binding protein,
Q9GZT9,EGLN1,Egl nine homolog 1,
Q9GZV1,ANKRD2,Ankyrin repeat domain-containing protein 2,
Q9GZV4,EIF5A2,Eukaryotic translation initiation factor 5A-2,
Q9GZV9,FGF23,Fibroblast growth factor 23,
Q9GZX5,ZNF350,Zinc finger protein 350,
Q9GZX6,IL22,Interleukin-22,
Q9GZY6,LAT2,Linker for activation of T-cells family member 2,
Q9GZZ8,LACRT,Extracellular glycoprotein lacritin,
Q9H008,LHPP,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,
Q9H009,NACA2,Nascent polypeptide-associated complex subunit alpha-2,
Q9H019,MTFR1L,Mitochondrial fission regulator 1-like,
Q9H040,SPRTN,DNA-dependent metalloprotease SPRTN,
Q9H063,MAF1,Repressor of RNA polymerase III transcription MAF1 homolog,
Q9H069,DRC3,Dynein regulatory complex subunit 3,
Q9H074,PAIP1,Polyadenylate-binding protein-interacting protein 1,
Q9H089,LSG1,Large subunit GTPase 1 homolog,
Q9H091,ZMYND15,Zinc finger MYND domain-containing protein 15,
Q9H093,NUAK2,NUAK family SNF1-like kinase 2,
Q9H095,IQCG,Dynein regulatory complex protein 9,
Q9H0A6,RNF32,RING finger protein 32,
Q9H0B3,IQCN,IQ domain-containing protein N,
Q9H0C8,ILKAP,Integrin-linked kinase-associated serine/threonine phosphatase 2C,
Q9H0F5,RNF38,E3 ubiquitin-protein ligase RNF38,
Q9H0J4,QRICH2,Glutamine-rich protein 2,
Q9H0M0,WWP1,NEDD4-like E3 ubiquitin-protein ligase WWP1,
Q9H0M4,ZCWPW1,Zinc finger CW-type PWWP domain protein 1,
Q9H0P0,NT5C3A,Cytosolic 5'-nucleotidase 3A,
Q9H0R5,GBP3,Guanylate-binding protein 3,
Q9H0U9,TSPYL1,Testis-specific Y-encoded-like protein 1,
Q9H0X6,RNF208,RING finger protein 208,
Q9H0Y0,ATG10,Ubiquitin-like-conjugating enzyme ATG10,
Q9H114,CSTL1,Cystatin-like 1,
Q9H115,NAPB,Beta-soluble NSF attachment protein,
Q9H156,SLITRK2,SLIT and NTRK-like protein 2,
Q9H160,ING2,Inhibitor of growth protein 2,
Q9H169,STMN4,Stathmin-4,
Q9H171,ZBP1,Z-DNA-binding protein 1,
Q9H173,SIL1,Nucleotide exchange factor SIL1,
Q9H1A4,ANAPC1,Anaphase-promoting complex subunit 1,
Q9H1B7,IRF2BPL,Probable E3 ubiquitin-protein ligase IRF2BPL,
Q9H1C3,GLT8D2,Glycosyltransferase 8 domain-containing protein 2,
Q9H1D9,POLR3F,DNA-directed RNA polymerase III subunit RPC6,
Q9H1H1,GTSF1L,Gametocyte-specific factor 1-like,
Q9H1H9,KIF13A,Kinesin-like protein KIF13A,
Q9H1J1,UPF3A,Regulator of nonsense transcripts 3A,
Q9H1P3,OSBPL2,Oxysterol-binding protein-related protein 2,
Q9H1R2,DUSP15,Dual specificity protein phosphatase 15,
Q9H1U4,MEGF9,Multiple epidermal growth factor-like domains protein 9,
Q9H201,EPN3,Epsin-3,
Q9H223,EHD4,EH domain-containing protein 4,
Q9H227,GBA3,Cytosolic beta-glucosidase,
Q9H254,SPTBN4,Spectrin beta chain,
Q9H269,VPS16,Vacuolar protein sorting-associated protein 16 homolog,
Q9H293,IL25,Interleukin-25,
Q9H2A7,CXCL16,C-X-C motif chemokine 16,
Q9H2D6,TRIOBP,TRIO and F-actin-binding protein,
Q9H2F5,EPC1,Enhancer of polycomb homolog 1,
Q9H2G2,SLK,STE20-like serine/threonine-protein kinase,
Q9H2G9,BLZF1,Golgin-45,
Q9H2K0,MTIF3,Translation initiation factor IF-3,
Q9H2M3,BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,
Q9H2R5,KLK15,Kallikrein-15,
Q9H2U1,DHX36,ATP-dependent DNA/RNA helicase DHX36,
Q9H2U2,PPA2,Inorganic pyrophosphatase 2,
Q9H2W6,MRPL46,Large ribosomal subunit protein mL46,
Q9H2X3,CLEC4M,C-type lectin domain family 4 member M,
Q9H2X6,HIPK2,Homeodomain-interacting protein kinase 2,
Q9H347,UBQLN3,Ubiquilin-3,
Q9H3G5,CPVL,Probable serine carboxypeptidase CPVL,
Q9H3K6,BOLA2,,
Q9H3R2,MUC13,Mucin-13,
Q9H3S3,TMPRSS5,Transmembrane protease serine 5,
Q9H3S4,TPK1,Thiamin pyrophosphokinase 1,
Q9H3T2,SEMA6C,Semaphorin-6C,
Q9H3T3,SEMA6B,Semaphorin-6B,
Q9H3U1,UNC45A,Protein unc-45 homolog A,
Q9H3U7,SMOC2,SPARC-related modular calcium-binding protein 2,
Q9H422,HIPK3,Homeodomain-interacting protein kinase 3,
Q9H446,RWDD1,RWD domain-containing protein 1,
Q9H461,FZD8,Frizzled-8,
Q9H477,RBKS,Ribokinase,
Q9H492,MAP1LC3A,Microtubule-associated proteins 1A/1B light chain 3A,
Q9H4A9,DPEP2,Dipeptidase 2,
Q9H4B6,SAV1,Protein salvador homolog 1,
Q9H4D0,CLSTN2,Calsyntenin-2,
Q9H4D5,NXF3,Nuclear RNA export factor 3,
Q9H4F8,SMOC1,SPARC-related modular calcium-binding protein 1,
Q9H4G8,DPH3P1,Putative DPH3 homolog B,
Q9H4K7,MTG2,Mitochondrial ribosome-associated GTPase 2,
Q9H4M7,PLEKHA4,Pleckstrin homology domain-containing family A member 4,
Q9H4P4,RNF41,E3 ubiquitin-protein ligase NRDP1,
Q9H4R4,NCOR1P1,Putative nuclear receptor corepressor 1-like protein NCOR1P1,
Q9H4X1,RGCC,Regulator of cell cycle RGCC,
Q9H5N1,RABEP2,Rab GTPase-binding effector protein 2,
Q9H5V8,CDCP1,CUB domain-containing protein 1,
Q9H5V9,STEEP1,STING ER exit protein,
Q9H5X1,CIAO2A,Cytosolic iron-sulfur assembly component 2A,
Q9H5Y7,SLITRK6,SLIT and NTRK-like protein 6,
Q9H6B4,CLMP,CXADR-like membrane protein,
Q9H6E4,CCDC134,Coiled-coil domain-containing protein 134,
Q9H6H4,REEP4,Receptor expression-enhancing protein 4,
Q9H6Q3,SLA2,Src-like-adapter 2,
Q9H6R7,WDCP,WD repeat and coiled-coil-containing protein,
Q9H6S1,AZI2,5-azacytidine-induced protein 2,
Q9H6S3,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,
Q9H6T3,RPAP3,RNA polymerase II-associated protein 3,
Q9H6Y5,MAGIX,PDZ domain-containing protein MAGIX,
Q9H714,RUBCNL,Protein associated with UVRAG as autophagy enhancer,
Q9H741,SPRING1,SREBP regulating gene protein,
Q9H773,DCTPP1,dCTP pyrophosphatase 1,
Q9H777,ELAC1,Zinc phosphodiesterase ELAC protein 1,
Q9H790,EXO5,Exonuclease V,
Q9H792,PEAK1,Inactive tyrosine-protein kinase PEAK1,
Q9H7B4,SMYD3,Histone-lysine N-methyltransferase SMYD3,
Q9H7C9,AAMDC,Mth938 domain-containing protein,
Q9H7E2,TDRD3,Tudor domain-containing protein 3,
Q9H7E9,C8orf33,UPF0488 protein C8orf33,
Q9H7M9,VSIR,V-type immunoglobulin domain-containing suppressor of T-cell activation,
Q9H7P9,PLEKHG2,Pleckstrin homology domain-containing family G member 2,
Q9H7T3,C10orf95,Uncharacterized protein C10orf95,
Q9H7T9,AUNIP,Aurora kinase A- and ninein-interacting protein,
Q9H7X7,IFT22,Intraflagellar transport protein 22 homolog,
Q9H7Y0,DIPK2B,Divergent protein kinase domain 2B,
Q9H7Z7,PTGES2,Prostaglandin E synthase 2,
Q9H808,TLE6,Transducin-like enhancer protein 6,
Q9H832,UBE2Z,Ubiquitin-conjugating enzyme E2 Z,
Q9H845,ACAD9,Complex I assembly factor ACAD9,
Q9H867,VCPKMT,Protein N-lysine methyltransferase METTL21D,
Q9H869,YY1AP1,YY1-associated protein 1,
Q9H892,TTC12,Tetratricopeptide repeat protein 12,
Q9H8E8,KAT14,Cysteine-rich protein 2-binding protein,
Q9H8J5,MANSC1,MANSC domain-containing protein 1,
Q9H8L6,MMRN2,Multimerin-2,
Q9H8U3,ZFAND3,AN1-type zinc finger protein 3,
Q9H8V3,ECT2,Protein ECT2,
Q9H8W3,FAM204A,Protein FAM204A,
Q9H8Y5,ANKZF1,tRNA endonuclease ANKZF1,
Q9H8Y8,GORASP2,Golgi reassembly-stacking protein 2,
Q9H900,ZWILCH,Protein zwilch homolog,
Q9H910,JPT2,Jupiter microtubule associated homolog 2,
Q9H939,PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,
Q9H972,C14orf93,Uncharacterized protein C14orf93,
Q9H977,WDR54,WD repeat-containing protein 54,
Q9H992,MARCHF7,E3 ubiquitin-protein ligase MARCHF7,
Q9H9A5,CNOT10,CCR4-NOT transcription complex subunit 10,
Q9H9B1,EHMT1,Histone-lysine N-methyltransferase EHMT1,
Q9H9E1,ANKRA2,Ankyrin repeat family A protein 2,
Q9H9F9,ACTR5,Actin-related protein 5,
Q9H9H5,MAP6D1,MAP6 domain-containing protein 1,
Q9H9J4,USP42,Ubiquitin carboxyl-terminal hydrolase 42,
Q9H9P5,UNKL,Putative E3 ubiquitin-protein ligase UNKL,
Q9H9Q4,NHEJ1,Non-homologous end-joining factor 1,
Q9H9S0,NANOG,Homeobox protein NANOG,
Q9H9Y2,RPF1,Ribosome production factor 1,
Q9HA38,ZMAT3,Zinc finger matrin-type protein 3,
Q9HA47,UCK1,Uridine-cytidine kinase 1,
Q9HA65,TBC1D17,TBC1 domain family member 17,
Q9HA90,EFCC1,EF-hand and coiled-coil domain-containing protein 1,
Q9HAE3,CLXN,Calaxin,
Q9HAN9,NMNAT1,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,
Q9HAP2,MLXIP,MLX-interacting protein,
Q9HAQ2,KIF9,Kinesin-like protein KIF9,
Q9HAT2,SIAE,Sialate O-acetylesterase,
Q9HAU4,SMURF2,E3 ubiquitin-protein ligase SMURF2,
Q9HAV5,EDA2R,Tumor necrosis factor receptor superfamily member 27,
Q9HAV7,GRPEL1,GrpE protein homolog 1,
Q9HAW4,CLSPN,Claspin,
Q9HB29,IL1RL2,Interleukin-1 receptor-like 2,
Q9HB40,SCPEP1,Retinoid-inducible serine carboxypeptidase,
Q9HB71,CACYBP,Calcyclin-binding protein,
Q9HBB8,CDHR5,Cadherin-related family member 5,
Q9HBE5,IL21R,Interleukin-21 receptor,
Q9HBG7,LY9,T-lymphocyte surface antigen Ly-9,
Q9HBL6,LRTM1,Leucine-rich repeat and transmembrane domain-containing protein 1,
Q9HBQ8,GOLGA2P5,Putative golgin subfamily A member 2B,
Q9HBR0,SLC38A10,Solute carrier family 38 member 10,
Q9HBW1,LRRC4,Leucine-rich repeat-containing protein 4,
Q9HC35,EML4,Echinoderm microtubule-associated protein-like 4,
Q9HC38,GLOD4,Glyoxalase domain-containing protein 4,
Q9HC56,PCDH9,Protocadherin-9,
Q9HC57,WFDC1,WAP four-disulfide core domain protein 1,
Q9HC62,SENP2,Sentrin-specific protease 2,
Q9HC73,CRLF2,Cytokine receptor-like factor 2,
Q9HC77,CENPJ,Centromere protein J,
Q9HC78,ZBTB20,Zinc finger and BTB domain-containing protein 20,
Q9HCB6,SPON1,Spondin-1,
Q9HCC6,HES4,Transcription factor HES-4,
Q9HCC9,ZFYVE28,Lateral signaling target protein 2 homolog,
Q9HCE0,EPG5,Ectopic P granules protein 5 homolog,
Q9HCE7,SMURF1,E3 ubiquitin-protein ligase SMURF1,
Q9HCG8,CWC22,Pre-mRNA-splicing factor CWC22 homolog,
Q9HCH0,NCKAP5L,Nck-associated protein 5-like,
Q9HCH5,SYTL2,Synaptotagmin-like protein 2,
Q9HCI7,MSL2,E3 ubiquitin-protein ligase MSL2,
Q9HCJ2,LRRC4C,Leucine-rich repeat-containing protein 4C,
Q9HCK4,ROBO2,Roundabout homolog 2,
Q9HCM2,PLXNA4,Plexin-A4,
Q9HCM3,KIAA1549,UPF0606 protein KIAA1549,
Q9HCM4,EPB41L5,Band 4.1-like protein 5,
Q9HCM7,FBRSL1,Fibrosin-1-like protein,
Q9HCM9,TRIM39,E3 ubiquitin-protein ligase TRIM39,
Q9HCN6,GP6,Platelet glycoprotein VI,
Q9HCS5,EPB41L4A,Band 4.1-like protein 4A,
Q9HCU0,CD248,Endosialin,
Q9HCU4,CELSR2,Cadherin EGF LAG seven-pass G-type receptor 2,
Q9HCU5,PREB,Prolactin regulatory element-binding protein,
Q9HCU8,POLD4,DNA polymerase delta subunit 4,
Q9HCY8,S100A14,Protein S100-A14,
Q9HD26,GOPC,Golgi-associated PDZ and coiled-coil motif-containing protein,
Q9HD36,BCL2L10,Bcl-2-like protein 10,
Q9HD42,CHMP1A,Charged multivesicular body protein 1a,
Q9HD43,PTPRH,Receptor-type tyrosine-protein phosphatase H,
Q9HD47,RANGRF,Ran guanine nucleotide release factor,
Q9HD67,MYO10,Unconventional myosin-X,
Q9HD89,RETN,Resistin,
Q9HDC5,JPH1,Junctophilin-1,
Q9NP59,SLC40A1,Solute carrier family 40 member 1,
Q9NP61,ARFGAP3,ADP-ribosylation factor GTPase-activating protein 3,
Q9NP70,AMBN,Ameloblastin,
Q9NP74,PALMD,Palmdelphin,
Q9NP79,VTA1,Vacuolar protein sorting-associated protein VTA1 homolog,
Q9NP84,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,
Q9NP85,NPHS2,Podocin,
Q9NP95,FGF20,Fibroblast growth factor 20,
Q9NPA0,EMC7,Endoplasmic reticulum membrane protein complex subunit 7,
Q9NPA8,ENY2,Transcription and mRNA export factor ENY2,
Q9NPB3,CABP2,Calcium-binding protein 2,
Q9NPB6,PARD6A,Partitioning defective 6 homolog alpha,
Q9NPD3,EXOSC4,Exosome complex component RRP41,
Q9NPD7,NRN1,Neuritin,
Q9NPE2,NGRN,Neugrin,
Q9NPF5,DMAP1,DNA methyltransferase 1-associated protein 1,
Q9NPG4,PCDH12,Protocadherin-12,
Q9NPH0,ACP6,Lysophosphatidic acid phosphatase type 6,
Q9NPH3,IL1RAP,Interleukin-1 receptor accessory protein,
Q9NPH6,OBP2B,Odorant-binding protein 2b,
Q9NPI5,NMRK2,Nicotinamide riboside kinase 2,
Q9NPI6,DCP1A,mRNA-decapping enzyme 1A,
Q9NPJ3,ACOT13,Acyl-coenzyme A thioesterase 13,
Q9NPY3,CD93,Complement component C1q receptor,
Q9NQ25,SLAMF7,SLAM family member 7,
Q9NQ29,LUC7L,Putative RNA-binding protein Luc7-like 1,
Q9NQ30,ESM1,Endothelial cell-specific molecule 1,
Q9NQ35,NRIP3,Nuclear receptor-interacting protein 3,
Q9NQ38,SPINK5,Serine protease inhibitor Kazal-type 5,
Q9NQ48,LZTFL1,Leucine zipper transcription factor-like protein 1,
Q9NQ66,PLCB1,1-phosphatidylinositol 4,
Q9NQ76,MEPE,Matrix extracellular phosphoglycoprotein,
Q9NQ79,CRTAC1,Cartilage acidic protein 1,
Q9NQ84,GPRC5C,G-protein coupled receptor family C group 5 member C,
Q9NQ88,TIGAR,Fructose-2,
Q9NQ94,A1CF,APOBEC1 complementation factor,
Q9NQC7,CYLD,Ubiquitin carboxyl-terminal hydrolase CYLD,
Q9NQG5,RPRD1B,Regulation of nuclear pre-mRNA domain-containing protein 1B,
Q9NQI0,DDX4,Probable ATP-dependent RNA helicase DDX4,
Q9NQM4,DNAAF6,Dynein axonemal assembly factor 6,
Q9NQP4,PFDN4,Prefoldin subunit 4,
Q9NQR1,KMT5A,N-lysine methyltransferase KMT5A,
Q9NQR4,NIT2,Omega-amidase NIT2,
Q9NQS7,INCENP,Inner centromere protein,
Q9NQT4,EXOSC5,Exosome complex component RRP46,
Q9NQT5,EXOSC3,Exosome complex component RRP40,
Q9NQT8,KIF13B,Kinesin-like protein KIF13B,
Q9NQV5,PRDM11,PR domain-containing protein 11,
Q9NQW6,ANLN,Anillin,
Q9NQW8,CNGB3,Cyclic nucleotide-gated cation channel beta-3,
Q9NQX4,MYO5C,Unconventional myosin-Vc,
Q9NQX5,NPDC1,Neural proliferation differentiation and control protein 1,
Q9NQY0,BIN3,Bridging integrator 3,
Q9NQZ3,DAZ1,Deleted in azoospermia protein 1,
Q9NR12,PDLIM7,PDZ and LIM domain protein 7,
Q9NR20,DYRK4,Dual specificity tyrosine-phosphorylation-regulated kinase 4,
Q9NR28,DIABLO,Diablo IAP-binding mitochondrial protein,
Q9NR30,DDX21,Nucleolar RNA helicase 2,
Q9NR45,NANS,Sialic acid synthase,
Q9NR46,SH3GLB2,Endophilin-B2,
Q9NR48,ASH1L,Histone-lysine N-methyltransferase ASH1L,
Q9NR61,DLL4,Delta-like protein 4,
Q9NR71,ASAH2,Neutral ceramidase,
Q9NRA1,PDGFC,Platelet-derived growth factor C,
Q9NRA8,EIF4ENIF1,Eukaryotic translation initiation factor 4E transporter,
Q9NRC6,SPTBN5,Spectrin beta chain,
Q9NRC9,OTOR,Otoraplin,
Q9NRD8,DUOX2,Dual oxidase 2,
Q9NRE2,TSHZ2,Teashirt homolog 2,
Q9NRG1,PRTFDC1,Phosphoribosyltransferase domain-containing protein 1,
Q9NRG9,AAAS,Aladin,
Q9NRH1,YAE1,Protein YAE1 homolog,
Q9NRH2,SNRK,SNF-related serine/threonine-protein kinase,
Q9NRH3,TUBG2,Tubulin gamma-2 chain,
Q9NRJ2,GSN-AS1,Putative uncharacterized protein GSN-AS1,
Q9NRJ3,CCL28,C-C motif chemokine 28,
Q9NRJ4,TULP4,Tubby-related protein 4,
Q9NRL2,BAZ1A,Bromodomain adjacent to zinc finger domain protein 1A,
Q9NRM6,IL17RB,Interleukin-17 receptor B,
Q9NRP4,SDHAF3,Succinate dehydrogenase assembly factor 3,
Q9NRP7,STK36,Serine/threonine-protein kinase 36,
Q9NRR1,CYTL1,Cytokine-like protein 1,
Q9NRR4,DROSHA,Ribonuclease 3,
Q9NRS4,TMPRSS4,Transmembrane protease serine 4,
Q9NRV9,HEBP1,Heme-binding protein 1,
Q9NRW1,RAB6B,Ras-related protein Rab-6B,
Q9NRX3,NDUFA4L2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2,
Q9NRY4,ARHGAP35,Rho GTPase-activating protein 35,
Q9NRY5,FAM114A2,Protein FAM114A2,
Q9NRY6,PLSCR3,Phospholipid scramblase 3,
Q9NS15,LTBP3,Latent-transforming growth factor beta-binding protein 3,
Q9NS18,GLRX2,Glutaredoxin-2,
Q9NS25,SPANXB1,Sperm protein associated with the nucleus on the X chromosome B1,
Q9NS37,CREBZF,CREB/ATF bZIP transcription factor,
Q9NS62,THSD1,Thrombospondin type-1 domain-containing protein 1,
Q9NS68,TNFRSF19,Tumor necrosis factor receptor superfamily member 19,
Q9NS71,GKN1,Gastrokine-1,
Q9NS73,MBIP,MAP3K12-binding inhibitory protein 1,
Q9NS87,KIF15,Kinesin-like protein KIF15,
Q9NS98,SEMA3G,Semaphorin-3G,
Q9NSA1,FGF21,Fibroblast growth factor 21,
Q9NSB8,HOMER2,Homer protein homolog 2,
Q9NSC5,HOMER3,Homer protein homolog 3,
Q9NSK7,C19orf12,Protein C19orf12,
Q9NSQ0,RRP7BP,Putative ribosomal RNA-processing protein 7 homolog B,
Q9NSV4,DIAPH3,Protein diaphanous homolog 3,
Q9NTG7,SIRT3,NAD-dependent protein deacetylase sirtuin-3,
Q9NTJ3,SMC4,Structural maintenance of chromosomes protein 4,
Q9NTK1,DEPP1,Protein DEPP1,
Q9NTM9,CUTC,Copper homeostasis protein cutC homolog,
Q9NTU7,CBLN4,Cerebellin-4,
Q9NU19,TBC1D22B,TBC1 domain family member 22B,
Q9NU63,ZFP57,Zinc finger protein 57 homolog,
Q9NUC0,SERTAD4,SERTA domain-containing protein 4,
Q9NUG6,PDRG1,p53 and DNA damage-regulated protein 1,
Q9NUP7,TRMT13,tRNA:m(4)X modification enzyme TRM13 homolog,
Q9NUQ8,ABCF3,ATP-binding cassette sub-family F member 3,
Q9NUW8,TDP1,Tyrosyl-DNA phosphodiesterase 1,
Q9NUY8,TBC1D23,TBC1 domain family member 23,
Q9NV35,NUDT15,Nucleotide triphosphate diphosphatase NUDT15,
Q9NV66,TYW1,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1,
Q9NV79,PCMTD2,Protein-L-isoaspartate O-methyltransferase domain-containing protein 2,
Q9NVF7,FBXO28,F-box only protein 28,
Q9NVF9,ETNK2,Ethanolamine kinase 2,
Q9NVG8,TBC1D13,TBC1 domain family member 13,
Q9NVM6,DNAJC17,DnaJ homolog subfamily C member 17,
Q9NVM9,INTS13,Integrator complex subunit 13,
Q9NVN3,RIC8B,Synembryn-B,
Q9NVN8,GNL3L,Guanine nucleotide-binding protein-like 3-like protein,
Q9NVP4,DZANK1,Double zinc ribbon and ankyrin repeat-containing protein 1,
Q9NVR5,DNAAF2,Protein kintoun,
Q9NVZ3,NECAP2,Adaptin ear-binding coat-associated protein 2,
Q9NW64,RBM22,Pre-mRNA-splicing factor RBM22,
Q9NW82,WDR70,WD repeat-containing protein 70,
Q9NWD8,TMEM248,Transmembrane protein 248,
Q9NWM0,SMOX,Spermine oxidase,
Q9NWM3,CUEDC1,CUE domain-containing protein 1,
Q9NWM8,FKBP14,Peptidyl-prolyl cis-trans isomerase FKBP14,
Q9NWN3,FBXO34,F-box only protein 34,
Q9NWQ8,PAG1,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1,
Q9NWS1,PARPBP,PCNA-interacting partner,
Q9NWU2,GID8,Glucose-induced degradation protein 8 homolog,
Q9NWV8,BABAM1,BRISC and BRCA1-A complex member 1,
Q9NWW6,NMRK1,Nicotinamide riboside kinase 1,
Q9NWW7,C2orf42,Uncharacterized protein C2orf42,
Q9NWX5,ASB6,Ankyrin repeat and SOCS box protein 6,
Q9NWZ3,IRAK4,Interleukin-1 receptor-associated kinase 4,
Q9NWZ8,GEMIN8,Gem-associated protein 8,
Q9NX05,FAM120C,Constitutive coactivator of PPAR-gamma-like protein 2,
Q9NX24,NHP2,H/ACA ribonucleoprotein complex subunit 2,
Q9NX31,OSER1,Oxidative stress-responsive serine-rich protein 1,
Q9NX36,DNAJC28,DnaJ homolog subfamily C member 28,
Q9NX45,SOHLH2,Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 2,
Q9NX58,LYAR,Cell growth-regulating nucleolar protein,
Q9NX63,CHCHD3,MICOS complex subunit MIC19,
Q9NX74,DUS2,tRNA-dihydrouridine(20) synthase [NAD(P)+]-like,
Q9NXA8,SIRT5,NAD-dependent protein deacylase sirtuin-5,
Q9NXH3,PPP1R14D,Protein phosphatase 1 regulatory subunit 14D,
Q9NXL2,ARHGEF38,Rho guanine nucleotide exchange factor 38,
Q9NXN4,GDAP2,Ganglioside-induced differentiation-associated protein 2,
Q9NXR1,NDE1,Nuclear distribution protein nudE homolog 1,
Q9NXR5,ANKRD10,Ankyrin repeat domain-containing protein 10,
Q9NXV2,KCTD5,BTB/POZ domain-containing protein KCTD5,
Q9NXZ1,SAGE1,Sarcoma antigen 1,
Q9NXZ2,DDX43,Probable ATP-dependent RNA helicase DDX43,
Q9NY25,CLEC5A,C-type lectin domain family 5 member A,
Q9NY30,BTG4,Protein BTG4,
Q9NY46,SCN3A,Sodium channel protein type 3 subunit alpha,
Q9NY57,STK32B,Serine/threonine-protein kinase 32B,
Q9NY59,SMPD3,Sphingomyelin phosphodiesterase 3,
Q9NY72,SCN3B,Sodium channel regulatory subunit beta-3,
Q9NYA3,GOLGA6A,Golgin subfamily A member 6A,
Q9NYB0,TERF2IP,Telomeric repeat-binding factor 2-interacting protein 1,
Q9NYC9,DNAH9,Dynein axonemal heavy chain 9,
Q9NYF0,DACT1,Dapper homolog 1,
Q9NYF5,FAM13B,Protein FAM13B,
Q9NYF8,BCLAF1,Bcl-2-associated transcription factor 1,
Q9NYJ8,TAB2,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,
Q9NYS0,NKIRAS1,NF-kappa-B inhibitor-interacting Ras-like protein 1,
Q9NYU2,UGGT1,UDP-glucose:glycoprotein glucosyltransferase 1,
Q9NYV4,CDK12,Cyclin-dependent kinase 12,
Q9NYV6,RRN3,RNA polymerase I-specific transcription initiation factor RRN3,
Q9NYX4,CALY,Neuron-specific vesicular protein calcyon,
Q9NYY1,IL20,Interleukin-20,
Q9NYY3,PLK2,Serine/threonine-protein kinase PLK2,
Q9NYZ4,SIGLEC8,Sialic acid-binding Ig-like lectin 8,
Q9NZ52,GGA3,ADP-ribosylation factor-binding protein GGA3,
Q9NZ53,PODXL2,Podocalyxin-like protein 2,
Q9NZ71,RTEL1,Regulator of telomere elongation helicase 1,
Q9NZA1,CLIC5,Chloride intracellular channel protein 5,
Q9NZC2,TREM2,Triggering receptor expressed on myeloid cells 2,
Q9NZC7,WWOX,WW domain-containing oxidoreductase,
Q9NZD2,GLTP,Glycolipid transfer protein,
Q9NZD4,AHSP,Alpha-hemoglobin-stabilizing protein,
Q9NZD8,SPG21,Maspardin,
Q9NZG7,NINJ2,Ninjurin-2,
Q9NZH4,PTTG3P,Putative pituitary tumor-transforming gene 3 protein,
Q9NZH5,PTTG2,Securin-2,
Q9NZH7,IL36B,Interleukin-36 beta,
Q9NZH8,IL36G,Interleukin-36 gamma,
Q9NZJ0,DTL,Denticleless protein homolog,
Q9NZJ5,EIF2AK3,Eukaryotic translation initiation factor 2-alpha kinase 3,
Q9NZJ9,NUDT4,Diphosphoinositol polyphosphate phosphohydrolase 2,
Q9NZK5,ADA2,Adenosine deaminase 2,
Q9NZN3,EHD3,EH domain-containing protein 3,
Q9NZN4,EHD2,EH domain-containing protein 2,
Q9NZN5,ARHGEF12,Rho guanine nucleotide exchange factor 12,
Q9NZP8,C1RL,Complement C1r subcomponent-like protein,
Q9NZQ0,DNAJC27,DnaJ homolog subfamily C member 27,
Q9NZQ3,NCKIPSD,NCK-interacting protein with SH3 domain,
Q9NZQ7,CD274,Programmed cell death 1 ligand 1,
Q9NZQ9,TMOD4,Tropomodulin-4,
Q9NZR1,TMOD2,Tropomodulin-2,
Q9NZS2,KLRF1,Killer cell lectin-like receptor subfamily F member 1,
Q9NZT2,OGFR,Opioid growth factor receptor,
Q9NZU5,LMCD1,LIM and cysteine-rich domains protein 1,
Q9NZV1,CRIM1,Cysteine-rich motor neuron 1 protein,
Q9NZV8,KCND2,Potassium voltage-gated channel subfamily D member 2,
Q9NZW4,DSPP,Dentin sialophosphoprotein,
Q9P000,COMMD9,COMM domain-containing protein 9,
Q9P013,CWC15,Spliceosome-associated protein CWC15 homolog,
Q9P016,THYN1,Thymocyte nuclear protein 1,
Q9P021,CRIPT,Cysteine-rich PDZ-binding protein,
Q9P032,NDUFAF4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4,
Q9P0G3,KLK14,Kallikrein-14,
Q9P0J1,PDP1,[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1,
Q9P0K1,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,
Q9P0L9,PKD2L1,Polycystin-2-like protein 1,
Q9P0M4,IL17C,Interleukin-17C,
